Date,Market,Contracts,Points,SCALEDPROFIT,REALPROFIT
20030718,BAX,4,-0.214,-1.73312,-0.86240
20030724,SI2,3,-8.713,-0.03917,-0.52878
20030724,RR2,3,-11.420,-0.23340,-0.28008
20030724,W2,2,12.418,0.25661,0.49270
20030804,HO2,1,-0.062,-0.67238,-1.04891
20030804,GO,1,-16.567,-0.52754,-0.66470
20030819,NK,1,170.000,0.42250,0.33800
20030820,NQ,2,11.085,0.10835,0.17336
20030822,LES,7,-0.144,-0.72800,-1.01920
20030822,LB,1,8.600,0.64896,0.37640
20030825,PA2,1,10.958,0.27270,0.43632
20030828,GC2,2,-0.475,-0.00820,-0.04200
20030902,ES,1,-13.525,-0.19464,-0.27250
20030904,HG2,3,9.070,0.72988,2.71515
20030910,SI2,2,-15.907,-0.07114,-0.64028
20030912,CT2,2,11.700,3.65313,4.67600
20030919,AD,1,0.097,6.43120,3.85872
20030923,BAX,4,-0.198,-1.61013,-0.80120
20030923,S2,2,107.663,1.58180,4.30250
20030930,JY,1,-0.002,-0.09294,-0.11525
20031001,LES,8,-0.161,-0.81550,-1.30480
20031008,ES,1,86.835,1.23907,1.73470
20031010,GO,2,-2.935,-0.09476,-0.23880
20031013,HO2,1,-0.066,-0.70883,-1.10578
20031013,NQ,2,-48.365,-0.48615,-0.77784
20031014,CD,1,-0.012,-1.22330,-0.48932
20031021,NK,1,-720.000,-1.80250,-1.44200
20031027,GC2,2,21.263,0.33145,1.69704
20031030,BP,1,-0.039,-2.03495,-0.97678
20031104,FCE,2,193.795,0.92045,1.54636
20031111,W2,2,-7.945,-0.16760,-0.32180
20031113,CD,1,-0.016,-1.61450,-0.64580
20031114,JY,1,-0.002,-0.06423,-0.07965
20031117,SI2,2,82.518,0.36630,3.29672
20031119,BP,1,0.111,5.76161,2.76558
20031119,EC,1,0.053,2.93294,2.63965
20031119,SF,1,0.018,1.10156,0.88125
20031120,GO,1,-19.462,-0.61944,-0.78050
20031124,LES,7,-0.184,-0.92850,-1.29990
20031203,HG2,3,35.833,2.88815,10.74390
20031204,RR2,3,-47.255,-0.95010,-1.14012
20031212,BAX,5,0.570,4.56350,2.83850
20031215,HO2,1,-0.022,-0.23282,-0.36320
20031215,CL2,1,0.531,0.11696,0.21052
20031215,GBS,6,1.168,2.98231,2.79144
20031216,GO,1,-2.225,-0.07222,-0.09100
20031216,LES,6,-0.108,-0.55250,-0.66300
20031218,TU2,2,0.771,6.83485,1.23027
20031218,TY2,1,2.997,2.72045,1.19700
20031230,NQ,2,2.815,0.02565,0.04104
20031231,CD,1,-0.008,-0.82390,-0.32956
20040107,HO2,1,-0.049,-0.53022,-0.82715
20040107,RR2,3,-49.500,-0.99500,-1.19400
20040112,NG2,1,-0.250,-1.19233,-1.00156
20040112,ED,8,-0.142,-1.79688,-1.15000
20040112,LES,7,0.047,0.22400,0.31360
20040113,S2,1,-26.618,-0.39290,-0.53435
20040121,HO2,1,-0.057,-0.61223,-0.95508
20040121,LEU,7,0.094,0.45850,0.64190
20040123,AD,1,-0.022,-1.45447,-0.87268
20040129,SI2,2,-23.508,-0.10492,-0.94432
20040209,BP,1,0.016,0.82568,0.39632
20040209,LB,1,-3.088,-0.23771,-0.13787
20040210,S2,1,151.335,2.22404,3.02470
20040211,AD,1,-0.006,-0.41687,-0.25012
20040212,ED,7,-0.021,-0.29375,-0.16450
20040218,SI2,1,-39.459,-0.17582,-0.79118
20040218,CL2,1,0.576,0.12693,0.22848
20040218,EC,1,-0.041,-2.29189,-2.06270
20040302,SI2,1,78.529,0.34857,1.56858
20040302,NK,1,-227.300,-0.57075,-0.45660
20040302,RR2,3,20.800,0.41100,0.49320
20040309,PA2,1,50.310,1.25651,2.01042
20040309,LLG,2,-1.389,-0.46483,-1.11560
20040316,GO,1,-13.365,-0.42587,-0.53660
20040326,NK,1,-94.000,-0.23750,-0.19000
20040329,GC2,2,-11.632,-0.18253,-0.93456
20040331,LB,1,30.872,2.33856,1.35637
20040401,JY,1,-0.020,-0.79319,-0.98355
20040413,CL2,1,1.942,0.43044,0.77480
20040414,GO,1,33.840,1.07270,1.35160
20040416,HO2,1,-0.001,-0.01344,-0.02097
20040423,RR2,2,-3.310,-0.07120,-0.05696
20040426,FCE,2,-151.400,-0.72333,-1.21520
20040525,NG2,1,-0.633,-3.01710,-2.53436
20040618,SB2,5,-0.120,-0.10326,-0.27880
20040621,FCE,2,-123.970,-0.59271,-0.99576
20040702,HO2,1,0.081,0.86740,1.35314
20040702,GO,1,36.750,1.16508,1.46800
20040706,SF,1,-0.025,-1.56325,-1.25060
20040719,EC,1,-0.039,-2.19611,-1.97650
20040719,BP,1,-0.056,-2.94313,-1.41270
20040722,LB,1,-16.100,-1.22483,-0.71040
20040729,CL2,1,2.312,0.51260,0.92268
20040816,CD,1,0.065,6.52640,2.61056
20040816,LEU,9,-0.117,-0.59575,-1.07235
20040816,TY2,1,0.274,0.24489,0.10775
20040819,LB,1,-21.652,-1.64601,-0.95469
20040823,GC2,2,-14.755,-0.23133,-1.18440
20040823,GBS,8,-0.270,-0.70590,-0.88096
20040901,TU2,3,-0.519,-4.63557,-1.25160
20040901,LLG,2,0.438,0.14450,0.34680
20040913,LSS,13,0.151,0.52393,0.95355
20040917,ED,6,-0.228,-2.87375,-1.37940
20040917,TU2,3,-0.446,-3.98695,-1.07648
20040921,HG2,1,-1.000,-0.08226,-0.10200
20040921,GO,1,76.688,2.43294,3.06550
20040922,HO2,1,0.167,1.80256,2.81200
20040923,CL2,1,4.182,0.92829,1.67093
20041001,GC2,2,20.717,0.32292,1.65336
20041001,SI2,1,31.600,0.14000,0.63000
20041001,AD,1,0.042,2.76840,1.66104
20041001,EC,1,0.089,4.95522,4.45970
20041011,LES,7,-0.063,-0.32700,-0.45780
20041011,LEU,10,-0.045,-0.23300,-0.46600
20041011,GBS,9,0.194,0.48513,0.68112
20041012,SB2,4,-0.598,-0.49949,-1.07890
20041021,TY2,2,-1.599,-1.45853,-1.28350
20041101,NQ,2,75.870,0.75620,1.20992
20041104,ES,2,37.360,0.53229,1.49040
20041104,SF,1,0.020,1.24300,0.99440
20041108,JY,1,0.006,0.22718,0.28170
20041112,FCE,2,124.000,0.58810,0.98800
20041115,LLG,2,0.340,0.11153,0.26768
20041124,BP,1,0.035,1.82922,0.87802
20041126,LEU,11,-0.080,-0.41175,-0.90585
20041209,BAX,5,-0.213,-1.72749,-1.07450
20041229,HG2,1,-6.337,-0.51266,-0.63570
20050103,LES,7,0.441,2.19550,3.07370
20050114,LSS,15,-0.159,-0.58321,-1.22475
20050119,NK,2,171.500,0.42625,0.68200
20050124,LB,1,5.672,0.42684,0.24757
20050126,BAX,5,-0.169,-1.37862,-0.85750
20050127,SB2,5,-0.479,-0.40068,-1.08184
20050131,LEU,10,-0.075,-0.38500,-0.77000
20050211,AD,1,-0.009,-0.57387,-0.34432
20050218,HG2,1,-6.700,-0.54194,-0.67200
20050223,CT2,2,0.600,0.18438,0.23600
20050223,S2,2,65.065,0.95537,2.59860
20050301,LB,1,-26.667,-2.02646,-1.17535
20050307,ES,2,-34.505,-0.49436,-1.38420
20050308,GBS,10,-0.320,-0.83333,-1.30000
20050309,BP,1,-0.050,-2.61380,-1.25463
20050315,CL2,1,-2.647,-0.58939,-1.06091
20050317,HO2,1,-0.081,-0.87807,-1.36979
20050317,GO,1,-10.795,-0.34429,-0.43380
20050329,CT2,2,-2.310,-0.72500,-0.92800
20050404,LEU,11,0.234,1.16225,2.55695
20050405,GBS,10,0.664,1.68974,2.63600
20050520,FCE,3,132.540,0.62876,1.58448
20050525,LLG,2,-0.509,-0.17140,-0.41136
20050601,TY2,2,-0.969,-0.88552,-0.77926
20050601,BAX,6,-0.153,-1.24196,-0.92700
20050601,S2,1,20.957,0.30673,0.41715
20050602,LSS,16,-0.135,-0.49714,-1.11360
20050606,HG2,1,-4.384,-0.35516,-0.44040
20050614,HO2,1,-0.029,-0.30896,-0.48198
20050623,GBS,12,-0.275,-0.71769,-1.34352
20050623,LSS,16,0.103,0.35321,0.79120
20050627,BAX,6,-0.205,-1.66559,-1.24320
20050628,GO,1,-21.750,-0.69206,-0.87200
20050628,LLG,2,-1.278,-0.42770,-1.02648
20050711,FCE,3,83.355,0.39455,0.99426
20050712,ES,2,-11.372,-0.16389,-0.45890
20050715,NQ,2,-14.680,-0.14930,-0.23888
20050719,HG2,1,5.994,0.48177,0.59740
20050719,SB2,6,0.312,0.25514,0.82666
20050728,NK,2,1515.300,3.78575,6.05720
20050802,NG2,1,0.848,4.03386,3.38844
20050808,CL2,1,1.374,0.30433,0.54780
20050811,HO2,1,-0.077,-0.83472,-1.30217
20050812,GC2,3,-15.600,-0.24453,-1.87800
20050812,GO,1,4.350,0.13651,0.17200
20050812,CD,2,0.006,0.63020,0.50416
20050825,NG2,1,1.110,5.28562,4.43992
20050831,HO2,1,-0.025,-0.27144,-0.42344
20050901,LLG,2,-1.220,-0.40820,-0.97968
20050912,GC2,3,13.720,0.21359,1.64040
20050912,SB2,6,-0.322,-0.27084,-0.87754
20050920,NG2,1,-0.630,-3.00238,-2.52200
20050922,HG2,1,2.228,0.17810,0.22085
20050927,FCE,2,-35.145,-0.16974,-0.28516
20050928,SB2,5,0.285,0.23307,0.62930
20050929,NG2,1,-1.495,-7.12143,-5.98200
20051011,PA2,3,42.038,1.04970,5.03856
20051102,NK,1,1446.300,3.61325,2.89060
20051104,NQ,2,20.000,0.19750,0.31600
20051107,HG2,1,48.748,3.92968,4.87280
20051107,RR2,3,-41.020,-0.82540,-0.99048
20051109,LB,1,-17.000,-1.29310,-0.75000
20051116,SB2,4,2.068,1.71172,3.69732
20051117,SI2,2,50.383,0.22348,2.01132
20051118,GC2,2,21.400,0.33359,1.70800
20051205,PA2,2,1.033,0.02458,0.07864
20051205,FCE,2,78.925,0.37345,0.62740
20051206,CD,1,-0.014,-1.40510,-0.56204
20051212,RR2,4,10.995,0.21490,0.34384
20051222,NK,1,-2.200,-0.00800,-0.00640
20051223,LB,1,-4.055,-0.31107,-0.18042
