Date,Market,Contracts,Points,SCALEDPROFIT,REALPROFIT
20070102,GO,-1,-8.908,0.28119,0.35430
20070104,CL2,-1,-2.006,0.44471,0.80048
20070105,LES,-11,0.020,-0.11000,-0.24200
20070108,SB2,-2,-0.093,0.07320,0.07906
20070109,RB2,-1,0.039,-0.33001,-0.66002
20070112,TU2,-4,0.155,-1.40071,-0.50426
20070122,LB,-2,8.800,-0.67103,-0.77840
20070302,LB,-2,0.356,-0.03046,-0.03533
20070315,W2,-1,-4.490,0.09146,0.08780
20070323,RR2,-3,5.725,-0.11950,-0.14340
20070328,BAX,-8,-0.462,3.70016,3.68240
20070328,LEU,-11,-0.161,0.79350,1.74570
20070402,GBS,-12,-0.584,1.48346,2.77704
20070403,SB2,-3,-0.331,0.27082,0.43873
20070404,LLG,-3,-3.088,1.02760,3.69936
20070409,ED,-7,-0.009,0.09312,0.05215
20070411,LES,-12,-0.183,0.90300,2.16720
20070411,CT2,-2,-4.078,1.27122,1.62716
20070418,LSS,-17,-0.137,0.47429,1.12880
20070420,LB,-2,3.000,-0.23103,-0.26800
20070518,SI2,-1,95.454,-0.42468,-1.91108
20070518,JY,-1,-0.003,0.12060,0.14955
20070604,TY2,-2,-0.462,0.41590,0.36600
20070604,TU2,-4,0.127,-1.15413,-0.41549
20070606,SB2,-4,0.599,-0.50040,-1.08087
20070607,RR2,-3,48.425,-0.97350,-1.16820
20070626,SI2,-1,26.677,-0.11901,-0.53554
20070626,NG2,-1,-0.510,2.42848,2.03992
20070627,GC2,-1,30.641,-0.47955,-1.22764
20070709,BAX,-8,0.138,-1.12460,-1.11920
20070711,RR2,-3,22.385,-0.45270,-0.54324
20070808,PA2,-2,-16.774,0.41810,1.33792
20070817,SI2,-1,64.602,-0.28756,-1.29404
20070821,NK,-1,695.350,-1.74087,-1.39270
20070822,NG2,-1,0.247,-1.17852,-0.98996
20070904,LSS,-15,0.099,-0.36821,-0.77325
20070910,LB,-1,-8.500,0.64138,0.37200
20070911,NK,-1,701.100,-1.75525,-1.40420
20071016,LSS,-11,0.219,-0.79714,-1.22760
20071109,NK,-1,-8.700,0.01925,0.01540
20071120,FCE,-1,225.400,-1.07571,-0.90360
20071204,LEU,-6,0.053,-0.27300,-0.32760
20071205,LB,-2,-36.100,2.73517,3.17280
20071217,NG2,-1,0.972,-4.62971,-3.88896
20071218,HG2,-1,31.726,-2.56012,-3.17455
20080107,NK,-1,-535.850,1.33712,1.06970
20080109,ES,-1,-6.693,0.09418,0.13185
20080111,FCE,-1,-407.500,1.93810,1.62800
20080114,NQ,-1,-96.947,0.96697,0.77358
20080122,BP,-1,0.035,-1.81526,-0.87133
20080124,CD,-1,0.030,-3.05370,-1.22148
20080222,LB,-2,-8.850,0.66793,0.77480
20080305,NK,-1,-1.550,0.00137,0.00110
20080307,ES,-1,64.665,-0.92521,-1.29530
20080310,FCE,-1,201.470,-0.96176,-0.80788
20080416,LES,-5,-0.023,0.10350,0.10350
20080416,LB,-2,9.276,-0.70715,-0.82029
20080418,LEU,-4,-0.432,2.14950,1.71960
20080421,LSS,-8,0.220,-0.80000,-0.89600
20080428,LLG,-1,-1.721,0.57197,0.68636
20080514,LSS,-8,-0.368,1.29946,1.45540
20080514,SB2,-2,-0.130,0.10440,0.11275
20080515,GBS,-4,-0.951,2.42577,1.51368
20080515,W2,-1,128.172,-2.67234,-2.56545
20080527,CT2,-1,1.930,-0.60641,-0.38810
20080530,TU2,-2,0.415,-3.70799,-0.66744
20080606,LES,-5,0.156,-0.79250,-0.79250
20080610,ED,-3,0.171,-2.16562,-0.51975
20080613,JY,-1,0.006,-0.26371,-0.32700
20080613,TY2,-1,2.776,-2.52841,-1.11250
20080616,CD,-1,-0.015,1.46840,0.58736
20080709,CT2,-1,-17.693,5.52584,3.53654
20080714,RR2,-1,9.560,-0.19620,-0.07848
20080715,ES,-1,60.253,-0.86218,-1.20705
20080716,FCE,-1,271.065,-1.29317,-1.08626
20080716,LB,-2,14.257,-1.08501,-1.25862
20080718,PA2,-1,-208.937,5.22217,8.35548
20080804,SF,-1,-0.039,2.42594,1.94075
20080805,HG2,-1,8.525,-0.68911,-0.85450
20080805,W2,-1,112.928,-2.35474,-2.26055
20080806,SI2,-1,-406.470,1.80609,8.12740
20080808,GC2,-1,-68.164,1.06428,2.72456
20080815,EC,-1,-0.038,2.09817,1.88835
20080818,NG2,-1,-4.157,19.79229,16.62552
20080821,BP,-1,-0.053,2.73984,1.31512
20080826,AD,-1,-0.028,1.83093,1.09856
20080902,GO,-1,-475.840,15.10444,19.03160
20080903,HO2,-1,-1.579,17.00682,26.53064
20080903,W2,-1,-211.798,4.41036,4.23395
20080904,CL2,-1,-3.675,0.81555,1.46800
20080905,NQ,-1,4.105,-0.04355,-0.03484
20080905,NK,-1,-21.400,0.05100,0.04080
20080908,HG2,-1,-64.339,5.18706,6.43195
20080910,RB2,-1,-1.401,11.76576,23.53151
20080910,LB,-2,-29.256,2.21597,2.57053
20080912,S2,-1,-259.500,3.81471,5.18800
20080916,ES,-1,46.213,-0.66161,-0.92625
20080918,FCE,-1,257.225,-1.22726,-1.03090
