Date,Market,Contracts,Points,SCALEDPROFIT,REALPROFIT
19941013,RR2,-52,54.800,-1.10100,-0.57252
19941014,GO,-73,8.250,-0.26349,-0.60590
19941025,FCE,-56,113.670,-0.54367,-0.63935
19941102,ED,-92,-0.681,8.48625,1.56147
19941108,NG2,-33,-0.096,0.45457,0.31502
19941110,NK,-22,-35.000,0.08500,0.03740
19941201,GO,-77,-3.523,0.11024,0.26738
19941205,SI2,-43,11.844,-0.05308,-0.25680
19941205,HO2,-40,0.034,-0.37226,-0.58073
19941205,GC2,-79,6.318,-0.09950,-0.50307
19941205,CL2,-47,0.990,-0.22111,-0.46765
19941209,SP,-18,14.629,-0.20926,-0.65918
19941215,LB,-20,26.800,-2.03655,-0.59060
19941220,NG2,-30,0.165,-0.78967,-0.49749
19941223,CD,-76,-0.005,0.49430,0.37567
19950103,S2,-61,3.200,-0.04853,-0.10065
19950104,JY,-21,0.014,-0.57234,-0.37259
19950105,GC2,-81,3.495,-0.05539,-0.28715
19950105,SI2,-43,28.313,-0.12628,-0.61088
19950105,RR2,-66,40.035,-0.80570,-0.53176
19950106,NG2,-31,-0.002,0.00624,0.00406
19950111,HO2,-42,0.026,-0.28207,-0.46203
19950111,FCE,-66,-1.165,0.00317,0.00439
19950113,GO,-82,2.508,-0.08119,-0.20971
19950113,BAX,-52,0.532,-4.29662,-0.69485
19950120,W2,-61,-7.360,0.15125,0.22143
19950124,NK,-27,680.000,-1.70250,-0.91935
19950216,HO2,-43,0.006,-0.06283,-0.10536
19950217,NK,-26,159.700,-0.40175,-0.20891
19950224,NK,-25,-930.000,2.32250,1.16125
19950227,SI2,-45,1.558,-0.00737,-0.03730
19950301,FCE,-72,13.540,-0.06686,-0.10109
19950301,LB,-22,-28.900,2.18897,0.69828
19950320,AD,-48,0.009,-0.59047,-0.42514
19950404,NK,-19,446.450,-1.11862,-0.42508
19950412,SB2,-56,-0.095,0.07495,0.05666
19950501,LB,-23,-32.673,2.47519,0.82548
19950505,HG2,-33,7.200,-0.58226,-0.59565
19950519,AD,-37,0.009,-0.62333,-0.34595
19950526,NK,-16,-310.000,0.77250,0.24720
19950629,NG2,-45,0.099,-0.47600,-0.44982
19950707,GC2,-76,-3.271,0.05033,0.24480
19950713,SB2,-61,0.840,-0.70034,-0.57673
19950714,PA2,-66,-13.816,0.34415,0.90856
19950721,NG2,-46,0.080,-0.38333,-0.37030
19950721,CL2,-59,1.148,-0.25627,-0.68039
19950721,HO2,-51,0.029,-0.31481,-0.62615
19950801,SI2,-27,45.470,-0.20253,-0.61520
19950803,JY,-10,-0.107,4.30367,1.33414
19950808,SF,-12,-0.014,0.87675,0.21042
19950814,BP,-23,-0.001,0.04292,0.01185
19950908,FCE,-73,-64.500,0.30476,0.46720
19951009,PA2,-89,-2.430,0.05949,0.21178
19951019,HG2,-32,6.565,-0.53109,-0.52684
19951103,JY,-11,-0.014,0.55270,0.18847
19951127,GC2,-112,3.900,-0.06172,-0.44240
19951130,SI2,-38,22.258,-0.09937,-0.42480
