Date,Market,Contracts,Points,SCALEDPROFIT,REALPROFIT
19940223,CT2,38,-3.089,-0.96841,-0.58879
19940225,SF,23,-0.008,-0.50631,-0.23290
19940314,HG2,62,-2.100,-0.17097,-0.32860
19940315,NK,11,-908.450,-2.27363,-0.50020
19940401,JY,18,-0.023,-0.94560,-0.52765
19940411,AD,38,-0.013,-0.88407,-0.50392
19940415,CT2,33,-0.339,-0.10903,-0.05757
19940418,HO2,33,0.011,0.11839,0.15236
19940428,BP,30,-0.018,-0.94156,-0.33896
19940429,JY,17,-0.027,-1.08004,-0.56918
19940502,PA2,105,-2.622,-0.06680,-0.28056
19940502,SF,24,-0.016,-1.03313,-0.49590
19940506,CL2,47,3.562,0.79051,1.67193
19940509,HG2,54,6.021,0.48399,0.81020
19940509,GO,74,-7.990,-0.25524,-0.59496
19940511,AD,36,0.005,0.30407,0.16420
19940531,NK,13,-293.150,-0.73538,-0.19120
19940608,HG2,45,-0.200,-0.01774,-0.02475
19940609,SB2,71,-0.821,-0.68475,-0.65633
19940614,SF,25,0.034,2.15075,1.07537
19940614,BP,31,0.022,1.13021,0.42044
19940617,GO,80,-5.345,-0.17127,-0.43160
19940622,JY,16,-0.001,-0.02512,-0.01246
19940701,PA2,98,5.952,0.14756,0.57844
19940720,HG2,41,-7.400,-0.59839,-0.76055
19940801,HO2,43,-0.031,-0.33997,-0.57014
19940802,GO,79,-5.922,-0.18960,-0.47183
19940810,CD,56,0.009,0.86000,0.48160
19940817,SP,18,-1.104,-0.01606,-0.05060
19940823,SF,21,-0.022,-1.40131,-0.58855
19940906,W2,68,16.428,0.34016,0.55514
19940909,AD,37,-0.013,-0.85833,-0.47637
19940912,SF,20,0.001,0.07581,0.03033
19940913,HG2,37,-4.568,-0.37000,-0.42439
19940915,BAX,39,-0.276,-2.23312,-0.27086
19940919,BP,29,0.031,1.58792,0.55259
19941012,LES,101,0.228,1.13200,0.57166
19941018,SB2,81,1.734,1.43504,1.56922
19941020,JY,17,-0.021,-0.86730,-0.45707
19941026,HG2,39,7.998,0.64335,0.77781
19941028,PA2,94,-4.848,-0.12245,-0.46041
19941107,AD,42,0.015,0.98487,0.62047
19941116,CT2,33,10.610,3.31250,1.74900
19941201,HG2,37,0.670,0.05238,0.06008
19950103,SB2,75,-0.250,-0.21111,-0.21375
19950110,HG2,35,-4.750,-0.38468,-0.41738
19950113,CT2,32,-1.223,-0.38525,-0.19725
19950127,PA2,99,-4.281,-0.10828,-0.42877
19950127,LES,124,1.070,5.34000,3.31080
19950206,TY2,40,7.053,6.40739,2.81925
19950215,SP,19,30.000,0.42829,1.42405
19950216,CT2,29,10.550,3.29375,1.52830
19950223,LSS,152,-0.275,-0.99679,-0.53029
19950303,SF,22,0.039,2.44081,1.07396
19950314,ED,69,0.891,11.10875,1.53301
19950314,TU2,61,1.727,15.32880,2.10388
19950315,LSS,152,0.114,0.39286,0.20900
19950317,LLG,29,3.803,1.26587,1.10130
19950320,JY,18,0.078,3.12371,1.74303
19950321,PA2,103,-1.458,-0.03769,-0.15527
19950323,CL2,61,0.783,0.17280,0.47434
19950330,PA2,92,-4.655,-0.11763,-0.43286
19950403,SF,16,-0.025,-1.53869,-0.49238
19950413,CT2,22,-6.620,-2.07188,-0.72930
19950419,GC2,75,-9.651,-0.15158,-0.72757
19950419,SI2,35,-20.545,-0.09176,-0.36129
19950419,SF,15,-0.035,-2.21988,-0.66596
19950425,CD,54,-0.003,-0.27790,-0.15007
19950501,RR2,87,117.010,2.33520,2.03162
19950505,BAX,43,0.540,4.32476,0.57835
19950509,LSS,159,0.226,0.79179,0.44063
19950510,LES,112,-0.240,-1.21000,-0.67760
19950523,S2,70,-19.197,-0.28379,-0.67541
19950524,HO2,48,-0.030,-0.32356,-0.60571
19950524,GO,93,-7.873,-0.25151,-0.73679
19950524,SP,21,16.442,0.23461,0.86218
19950524,LES,104,0.357,1.77400,0.92248
19950524,CT2,20,-3.040,-0.95313,-0.30500
19950614,ED,70,-0.282,-3.55000,-0.49700
19950615,W2,62,35.470,0.73687,1.09647
19950620,S2,55,-20.165,-0.29801,-0.55729
19950622,CT2,18,-6.384,-1.99819,-0.57548
19950623,TY2,34,-1.730,-1.57755,-0.59000
19950707,ED,67,-0.369,-4.64000,-0.62176
19950710,TU2,50,-0.528,-4.71991,-0.53099
19950711,CD,55,-0.010,-1.03410,-0.56876
19950713,S2,48,-3.108,-0.04717,-0.07698
19950718,W2,49,-7.100,-0.15000,-0.17640
19950725,LSS,140,0.206,0.72000,0.35280
19950728,SP,17,4.658,0.06626,0.19714
19950821,FCE,71,-74.450,-0.35690,-0.53214
19950821,SB2,63,-0.720,-0.60095,-0.51111
19950823,CT2,20,-3.000,-0.94072,-0.30103
19950825,CD,61,-0.001,-0.08000,-0.04880
19950825,LES,93,0.879,4.38450,2.03879
19950828,AD,37,0.006,0.41833,0.23218
19950830,NK,14,-209.750,-0.52687,-0.14752
19950907,LLG,26,-1.202,-0.40220,-0.31372
19950915,CT2,20,0.400,0.12172,0.03895
19950919,S2,38,48.322,0.70915,0.91623
19951002,W2,37,-1.287,-0.02891,-0.02567
19951003,CD,58,-0.007,-0.66520,-0.38582
19951004,AD,40,-0.015,-0.99980,-0.59988
19951020,SP,17,-13.974,-0.19991,-0.59472
19951025,SB2,74,0.439,0.36084,0.36047
19951026,TU2,60,0.166,1.45282,0.19613
19951101,BAX,50,1.010,8.10289,1.26000
19951102,TY2,37,0.583,0.52543,0.21385
19951103,ED,82,0.169,2.08250,0.34153
19951109,SP,17,13.568,0.19354,0.57579
19951109,LSS,177,0.037,0.11786,0.07301
19951117,LLG,29,2.429,0.80783,0.70282
19951120,NG2,42,0.566,2.69286,2.37510
19951120,CL2,70,1.750,0.38771,1.22129
19951120,HO2,63,0.061,0.65032,1.59784
19951201,NK,15,1087.800,2.71700,0.81510
19951218,LES,107,-0.070,-0.35850,-0.19180
19951220,GO,106,4.270,0.13397,0.44732
19951228,NG2,32,-0.050,-0.23852,-0.16029
19951228,TU2,78,0.273,2.40444,0.42198
19951229,TY2,43,-1.220,-1.11321,-0.52655
19960103,S2,45,-16.142,-0.23886,-0.36546
19960104,NG2,28,-0.164,-0.78357,-0.46074
19960110,GC2,110,-3.100,-0.04922,-0.34650
19960117,FCE,68,-28.965,-0.14031,-0.20036
19960118,TY2,43,-1.091,-0.99660,-0.47139
19960119,LSS,197,-0.215,-0.78321,-0.54003
19960123,GC2,104,4.222,0.06519,0.43389
19960129,NK,17,-250.000,-0.62750,-0.21335
19960129,SB2,90,-0.351,-0.29457,-0.35790
19960130,W2,48,-19.237,-0.40286,-0.46410
19960131,SP,15,15.298,0.21826,0.57293
19960212,GO,70,7.942,0.25056,0.55248
19960213,TY2,43,-1.812,-1.65227,-0.78152
19960216,SB2,87,-0.186,-0.15826,-0.18588
19960222,CL2,58,5.563,1.23504,3.22347
19960223,HO2,39,0.118,1.26520,1.92437
19960228,AD,41,0.034,2.25907,1.38933
19960308,GO,56,24.550,0.77778,1.37200
19960312,SB2,83,-0.253,-0.21393,-0.23971
19960321,NG2,15,0.172,0.81843,0.25781
19960328,NK,19,440.000,1.09750,0.41705
19960402,FCE,75,33.615,0.15769,0.24836
19960402,S2,42,29.420,0.43118,0.61572
19960404,W2,44,33.525,0.69635,0.73535
19960411,GO,46,-9.915,-0.31635,-0.45839
19960419,W2,38,29.000,0.60208,0.54910
